x,y,z,radial,toroidal angle
0.507981032,-0.013301951,-1.481974436,0.508155164,-0.026179939
0.507961244,-0.014965021,-1.481947962,0.508181638,-0.029452431
0.507936012,-0.016628103,-1.481921487,0.508208113,-0.032724923
0.507905336,-0.018291181,-1.481895011,0.508234589,-0.035997416
0.507869216,-0.019954236,-1.481868533,0.508261067,-0.039269908
0.507827652,-0.02161725,-1.481842054,0.508287546,-0.042542401
0.507780644,-0.023280206,-1.481815573,0.508314027,-0.045814893
0.507728191,-0.024943087,-1.481789091,0.508340509,-0.049087385
0.507670293,-0.026605873,-1.481762608,0.508366992,-0.052359878
0.507606951,-0.028268547,-1.481736123,0.508393477,-0.05563237
0.507538165,-0.029931092,-1.481709637,0.508419963,-0.058904862
0.507463934,-0.031593489,-1.481683149,0.508446451,-0.062177355
0.50738426,-0.033255721,-1.481656661,0.508472939,-0.065449847
0.507299142,-0.03491777,-1.48163017,0.50849943,-0.068722339
0.507208581,-0.036579619,-1.481603679,0.508525921,-0.071994832
0.507112576,-0.038241248,-1.481577186,0.508552414,-0.075267324
0.50701113,-0.039902641,-1.481550691,0.508578909,-0.078539816
0.506904241,-0.04156378,-1.481524195,0.508605405,-0.081812309
0.506791911,-0.043224646,-1.481497698,0.508631902,-0.085084801
0.506674141,-0.044885223,-1.4814712,0.5086584,-0.088357293
